customer_id,age,monthly_charges,total_charges,contract_length_months,internet_service,online_security,tech_support,num_complaints,customer_service_calls,account_age_months,payment_method,paperless_billing,service_quality_score,avg_response_time_hours,churn,lifetime_value,subscription_score
34,44,139.7134120691357,5388.946946065702,1,Fiber optic,Yes,No,3,6,70,Bank transfer,Yes,3.757101176819317,0.18364717007007658,0,9371.666525625902,70.25433316884514
35,59,27.940134781132286,7953.700953647223,12,DSL,No,No,3,5,17,Bank transfer,No,6.995736642397881,3.6454198359498187,1,352.09918638904963,115.56907373793018
36,45,55.99409425913648,5328.529599810091,1,No,No,Yes,3,5,50,Electronic check,Yes,9.017712680748748,3.869106225470688,1,2142.2964719533943,21.84908074604698
37,33,124.80616637309797,4506.488997223197,24,DSL,Yes,No,2,4,37,Electronic check,Yes,3.307650337074555,3.5561809592460696,0,4957.785502008873,104.22000065783705
38,32,117.27375974987558,5872.1390308900445,12,Fiber optic,No,Yes,2,3,62,Check,Yes,9.374298327673014,3.2085515438127694,0,7399.1704267293335,49.719575561715146
39,64,43.987732516329054,3775.1243370413736,24,DSL,No,Yes,1,3,29,Credit card,No,6.3470931984926935,0.8995499938401824,0,1103.8069834014523,148.3534195175207
40,68,47.21541203377234,575.1245065462032,24,Fiber optic,No,No,0,2,32,Credit card,No,8.209074188781244,0.49042580453498497,0,1365.4906113933325,149.00704578782717
41,61,68.16137336287966,4542.144845435488,12,Fiber optic,Yes,No,4,9,11,Electronic check,No,4.574865738762075,5.2846378456025755,0,609.9687548057931,104.17191823072918
42,72,82.98798807483277,7665.239747592504,24,No,No,No,4,7,6,Electronic check,Yes,2.90962344310186,0.7334510872853568,0,559.4317046991184,8.553333076269467
43,69,100.37312029893847,1484.8932446255112,12,Fiber optic,No,Yes,0,6,35,Credit card,Yes,9.201118739029239,1.0163505519652265,0,3417.094800137956,194.6509504359196
44,74,67.95877314407042,5551.03863748326,24,Fiber optic,No,No,1,8,33,Check,No,9.398222815655968,2.4050074975108853,0,1633.7070807397004,77.81612127730659
45,20,80.12951309730923,1687.3761404065463,1,Fiber optic,Yes,No,0,0,18,Electronic check,Yes,5.478176297387219,0.6944567783459843,0,1206.6734329658784,149.11980375875135
46,54,117.17122195738835,4333.038707337342,12,No,No,No,0,6,37,Check,Yes,1.0584551439933085,3.4199559255744165,0,4246.485388119543,0.0
47,68,24.768816375777725,863.743952209085,12,DSL,No,No,4,9,13,Bank transfer,Yes,1.9880465830336402,0.14521584647894217,0,49.49811490080168,73.05752072445816
48,24,52.816802764722695,3657.9303964396627,12,DSL,No,Yes,1,3,64,Electronic check,No,6.1572516420854955,3.132590831658895,0,3137.5694873240923,200.0
49,38,112.73544616499181,6073.690298272444,12,DSL,Yes,No,2,6,1,Bank transfer,Yes,1.213990320716976,1.8418595643850744,0,522.9295722631308,26.80081144204823
50,26,136.3768888993359,2845.8150414879583,24,Fiber optic,Yes,No,4,0,63,Electronic check,Yes,4.572207315880258,1.7019127617688332,1,6012.496421627833,82.70918687610781
51,56,86.5180674750366,5352.802623449023,1,DSL,No,Yes,2,4,34,Bank transfer,No,3.7303295101481133,1.226370327564872,1,1981.9070640301723,110.03453232094493
52,35,89.17475308449103,6384.0546902388605,1,Fiber optic,No,Yes,1,2,10,Electronic check,Yes,7.429134478619842,0.6488182484220054,0,1025.2162163899845,60.92032597132825
53,21,33.93236147417089,7424.704773887676,24,Fiber optic,Yes,Yes,0,4,7,Check,Yes,1.5002080565314175,1.2475045120909072,0,466.7404148492732,62.54632961273913
54,42,78.16360768704911,1953.672446658083,12,DSL,No,Yes,3,3,56,Check,No,5.398581420795587,1.1957776842666767,1,3512.136554223342,48.63816043449037
55,31,89.240244639153,3254.5957348935344,24,No,Yes,No,3,1,37,Check,No,6.212028428880448,1.7529586017612553,0,3642.963655254683,200.0
56,67,51.52116547251485,1304.0865053102978,24,Fiber optic,No,No,1,3,29,Bank transfer,No,6.555619684473559,0.661385938007561,0,1581.0755646279317,180.7350756938065
57,26,55.00162002341953,7940.6196670511645,24,Fiber optic,No,Yes,3,2,12,Check,No,4.646419048152468,0.1615430406676057,0,353.4578602123932,75.31720913941464
58,43,69.04694120360094,7423.307646601933,24,Fiber optic,No,Yes,2,0,17,Bank transfer,Yes,3.7393100508659587,0.31351686294043146,0,973.301524179818,138.86651760862807
59,70,22.609255711104428,4365.661329216421,1,Fiber optic,No,No,3,9,48,Electronic check,No,7.142437303634339,2.4024693226704246,1,679.299302558146,95.70197431451065
60,19,61.87029152581318,6752.063025573728,1,No,Yes,No,1,7,26,Bank transfer,Yes,8.628121432922455,0.0454982804664799,1,1227.3519467836795,162.67683515986707
61,37,47.488240909550804,4215.568020449134,24,DSL,No,No,1,4,12,Electronic check,No,7.242558740045909,3.8820468422028434,0,588.7221951702959,78.26476185800104
62,45,62.574655783128904,5026.326935221801,12,DSL,Yes,No,2,3,21,Credit card,No,9.388921289114995,2.370938953141317,0,1019.4624237300172,200.0
63,64,35.569077136502656,804.0830137165312,1,DSL,No,No,3,9,42,Credit card,No,7.455371728221344,2.9227819995685094,1,715.3806622790746,49.255954262253695
64,24,135.76854649618633,6066.636321924782,12,Fiber optic,No,Yes,3,4,61,Credit card,No,7.881568606122565,3.615588066105108,0,8333.682946984114,70.25394757805888
65,61,97.16701896202633,1108.936520718355,24,DSL,No,Yes,0,3,58,Bank transfer,No,2.5111287694187996,0.2618363490934028,0,5659.695209867412,140.6003892442229
66,25,108.28330148878365,6625.934278994974,12,DSL,Yes,No,4,2,54,Credit card,Yes,4.7758568007404065,3.4570183283825666,0,5805.322906872015,89.49489199309654
67,64,122.59226101895398,6278.021892596049,12,DSL,No,No,1,4,34,Credit card,No,5.3654979786036865,1.4049508580355794,0,4264.722085452454,117.08182063235992
68,52,84.79748586077744,5699.083112169514,12,No,Yes,No,0,3,7,Credit card,Yes,3.3066384606514685,4.334777352764165,0,842.9448932043609,159.43311186221376
69,31,31.29963745136508,385.6670061456207,1,DSL,Yes,No,1,0,35,Electronic check,Yes,5.756858743206591,4.353431476468092,1,828.8549048916092,73.00210800797336
70,34,89.8238504364112,2494.714011968096,12,Fiber optic,No,No,0,2,15,Check,Yes,3.6171274979966275,0.04895026217842429,0,1159.0276855866487,200.0
71,53,96.28934534271428,2178.5893022956584,12,No,No,Yes,4,9,65,Bank transfer,Yes,7.187518835239744,0.9653356550589399,0,6641.8513744104175,45.46738977962998
72,67,116.9071316439629,2945.077619025001,1,Fiber optic,No,No,0,9,25,Credit card,No,5.2325962903285825,1.4947793058027403,1,2010.6131072446829,110.44021346498567
73,57,76.11574100985831,792.3776994343244,24,Fiber optic,No,Yes,1,7,59,Electronic check,No,5.12926258842132,2.268645300886398,0,4500.828246167145,198.02543879700102
74,21,36.58543936342329,7501.966801945396,12,Fiber optic,Yes,Yes,3,6,6,Check,Yes,9.852782779295305,0.6742664007348382,0,88.78102851528035,80.35026022652244
75,19,56.89086775383418,4475.037701627773,24,Fiber optic,No,No,1,1,52,Check,Yes,4.532003636883134,0.5810850143000985,0,2743.4424134667206,169.4081542211991
76,23,67.20069853182255,2513.642054198386,24,DSL,No,No,2,0,21,Check,Yes,4.260658893306115,0.9601587400205965,1,789.2513977034455,93.36917473656652
77,71,103.96924137310816,3236.153984886839,1,DSL,Yes,No,2,2,71,Electronic check,No,3.8674393415438897,1.390052657105806,1,4924.712446829763,52.84778628264785
78,59,94.20117960695855,3632.9000699882017,12,No,No,No,2,4,32,Credit card,Yes,9.052742988782184,6.037847514426704,0,2412.4495313778903,111.23498429198402
79,21,66.29257436672,4844.695233548877,12,DSL,No,Yes,2,9,53,Check,No,5.470514434883604,2.8718809032380266,0,3482.254496331473,115.0781253176786
80,71,148.24698234308735,4173.867478802333,24,DSL,No,Yes,4,0,59,Electronic check,No,6.4001302973257195,1.1218573831146241,0,8967.041729341307,141.91435886649253
81,46,98.75072651639533,7363.196588393897,1,Fiber optic,No,No,3,2,69,Electronic check,Yes,2.627366311021555,0.11179973133789572,0,6616.937642945938,81.29922648406415
82,35,50.83948292567928,4026.011514956059,12,Fiber optic,No,No,3,2,62,Bank transfer,No,5.868481240044342,0.3690974914228947,0,3663.9455192826604,16.050667326095365
83,43,33.231721440652485,7938.048317104171,12,DSL,No,No,1,4,4,Electronic check,No,3.4718337358163947,1.2173342317841536,0,410.20244721873144,132.55125236962243
84,61,39.871688093963165,6826.257166186257,1,DSL,No,No,0,2,18,Check,No,7.575732291365897,3.362146044177383,1,498.7385030897915,147.49926660013062
85,51,51.97450468998606,1747.233063422953,1,No,Yes,No,1,8,56,Check,Yes,8.49275513913144,0.9583165248097645,0,2688.3558982969626,73.81790277161204
86,27,40.88857852374224,7451.7021956869385,12,Fiber optic,No,No,1,0,24,Electronic check,Yes,7.433296229181498,1.5465319354835003,0,661.906308313889,161.78605085092533
87,53,44.25371312666975,1019.2945432952612,24,Fiber optic,No,Yes,1,3,66,Check,No,7.572197496432316,4.447638142984763,0,2898.0083313223827,193.2695559038144
88,31,57.06237193020012,6557.852697080413,12,DSL,No,No,1,9,13,Electronic check,Yes,5.6122723370756535,4.902083416262705,0,755.4349644623614,103.23412609646495
89,48,42.53856738831813,3106.9240184649825,12,Fiber optic,No,No,3,9,62,Check,No,7.409062507007217,0.48611861094684145,0,2596.5137552504357,133.4391346455208
90,65,136.57950520143527,7035.997131516049,12,Fiber optic,No,Yes,0,3,54,Bank transfer,Yes,4.804182419573443,0.08914746740253504,0,7589.1579049360325,152.55326107861728
91,32,30.430386936013488,6957.6478518488575,24,DSL,No,No,1,0,15,Credit card,Yes,6.863402381766517,0.7288685999799354,1,618.9354820761857,163.67243379546593
92,25,88.18648064413311,6466.810660929207,1,Fiber optic,Yes,No,3,1,69,Bank transfer,Yes,3.331352891084632,2.3801550174762007,0,6179.40194275589,63.376475576045245
93,31,73.351587508656,6341.240446825785,24,DSL,No,No,1,0,3,Bank transfer,Yes,1.6278131108080913,6.03645484470179,1,259.3315284190878,138.95733182783178
94,40,147.70922019811883,2506.9651988745222,1,Fiber optic,No,Yes,2,5,37,Credit card,Yes,4.7212593770977165,0.1603214292377444,0,5402.130094891937,138.4790172882967
95,74,34.565057281846805,739.2623361048923,12,Fiber optic,Yes,No,1,2,37,Check,Yes,5.156003402024409,0.05779469183554012,0,1277.9235044150066,159.88141922688396
96,57,71.72122787594641,3283.5434122447755,1,Fiber optic,No,Yes,1,6,3,Credit card,Yes,3.30766442369821,4.310869942599305,0,297.49037430930923,77.77197855339821
97,38,146.03115632579795,1470.8436683934185,1,No,No,No,4,4,63,Electronic check,No,7.549385665665139,2.7578056447707473,0,9136.615215972044,137.6490737997515
98,33,132.51592636621743,5590.1136023294475,12,Fiber optic,No,Yes,2,8,35,Credit card,No,1.6619543107865127,9.719758235312336,0,4770.2268569775,78.61135972676772
99,62,126.21936922340639,2834.187839648506,1,DSL,Yes,Yes,0,6,52,Bank transfer,Yes,3.004734919412697,1.0109893221485877,0,6352.172056569575,57.42160628394838
100,35,53.52736751584218,7807.3205867933275,24,Fiber optic,Yes,No,1,3,28,Credit card,Yes,7.737082466082642,1.0758829325663997,0,1352.3258333836159,118.82204551466378
101,64,42.21538636070856,5163.679411028123,1,DSL,No,No,0,4,18,Check,Yes,4.934118463660111,0.37823762125538224,0,550.4943352239969,100.95249899779931
102,70,106.92361859017603,6597.596452711451,12,Fiber optic,Yes,Yes,2,4,36,Bank transfer,Yes,7.347552616353812,0.24625065397813248,0,3715.525846451244,17.38557695525401
103,41,140.81887858658615,1146.9449146606025,12,DSL,No,Yes,1,4,33,Electronic check,Yes,6.107372900052367,1.728905721894288,0,4589.566148299342,172.02963570933596
104,43,92.37917609181088,6909.914409953718,1,DSL,No,No,4,9,64,Check,Yes,9.556414749976263,0.906009862638206,1,4344.4053162505925,200.0
105,42,94.30964963108698,7389.781805055815,1,No,Yes,No,3,8,26,Bank transfer,Yes,6.380162494505496,0.16745126653301923,1,1724.7220596771815,142.45869505009077
106,62,56.39728217583694,3947.7891586695937,12,Fiber optic,Yes,No,4,9,48,Electronic check,No,1.1338207691096773,4.36050607563825,1,1638.087134751104,30.213532383838597
107,58,120.03408131495179,4889.398208232722,12,Fiber optic,No,Yes,4,2,40,Check,Yes,4.175896154539005,0.4421824880997539,0,4520.971159150027,41.61623270485831
108,46,44.31568731247803,6141.997427133664,12,Fiber optic,No,No,3,5,17,Electronic check,No,2.287546139842369,2.7612954429058885,0,670.1671785286079,12.046181957282343
109,32,62.078300732551675,1481.2251553572592,12,No,No,Yes,3,7,40,Credit card,Yes,9.321703098379329,0.6632082792436976,0,2650.012235297647,116.1058937279726
110,62,75.30673702013418,4070.2720040611953,12,DSL,No,Yes,3,8,7,Credit card,No,1.9361120885657228,3.352275730262155,0,807.7425480998672,94.9042223715242
111,18,85.98934922897915,3249.4379194012736,1,DSL,Yes,No,1,6,57,Electronic check,Yes,4.489359968179787,0.2520265156345608,0,4583.239906664573,69.1857571350258
112,42,51.51326521396043,1256.354538081768,12,Fiber optic,No,No,0,2,8,Credit card,Yes,3.0348927426402295,2.8217611625587193,0,486.5766146056952,200.0
113,24,34.92878721609646,3003.521936103098,24,Fiber optic,No,No,0,0,56,Electronic check,Yes,8.620497913570599,0.20654511370233417,0,1875.6375918062167,99.76432667280305
114,26,99.38060551741223,638.5612441453992,12,Fiber optic,No,No,3,3,31,Check,Yes,3.777098478300253,1.184490013394484,1,2091.714982743142,87.44169806906203
115,41,57.52197192123325,303.9140649009472,12,No,No,No,4,5,59,Bank transfer,Yes,9.927041348283804,2.648550651943608,0,3180.9479675708567,107.93104821321532
116,18,95.56096878493959,1167.8136843230998,12,DSL,No,No,2,2,58,Electronic check,Yes,1.3475494505102579,0.3804293662852507,0,5498.523540035914,75.11171662463653
117,61,40.0671529856463,7708.609381554474,24,No,Yes,No,3,0,12,Bank transfer,No,2.154490952163093,0.6728064467761861,0,258.9699438503633,43.79318250545039
118,25,82.54821324112626,4441.283333570634,24,Fiber optic,No,Yes,4,5,48,Bank transfer,Yes,3.021748987861982,4.001512007682038,0,3909.14405087719,53.29731158775334
119,41,89.23662623170617,7729.995073110437,12,DSL,Yes,Yes,4,0,31,Electronic check,No,8.299954361801435,4.327722524760914,0,2995.9869816997993,83.91107780678448
120,28,26.7370597869155,3516.7332388080426,24,DSL,Yes,No,1,8,63,Credit card,Yes,8.906654881576141,0.09195270346141424,0,1810.6822705735499,196.64770916323624
121,68,63.758556165209676,2563.3474513735505,1,Fiber optic,No,No,1,0,39,Check,No,1.6430624254848012,0.36806344142918157,1,2123.3589054480194,179.18320357432566
122,34,37.47390800206665,4098.520716437928,1,No,No,Yes,0,5,20,Bank transfer,Yes,1.2921412758604878,0.24992938991070582,1,629.9061579693326,75.90996773773175
123,25,28.238746161459808,3572.14234019999,24,No,No,No,0,0,48,Check,Yes,7.701011713941214,0.3961534678634029,0,1390.3634296494324,79.35955988278
124,52,148.69483021069288,934.7510056677769,24,No,No,Yes,2,6,71,Bank transfer,Yes,2.2001680607825214,7.025670068524017,0,10667.912066461671,85.48370067240435
125,52,61.90599984671399,5162.52788605263,1,DSL,No,No,2,2,54,Electronic check,Yes,2.1969872836717528,1.604385617113428,0,3187.764357839494,95.65561877005992
126,50,125.28367796110253,1806.701641825837,1,Fiber optic,Yes,Yes,2,5,71,Credit card,Yes,1.2012988104498634,1.2626461444254105,1,5809.393124914646,69.87100592782159
127,22,53.1032851192893,4994.7448436928535,1,Fiber optic,No,No,2,6,29,Check,Yes,1.4482708982507968,8.329625011236441,0,1699.229498752204,90.23380323689804
128,59,108.59535388911081,5236.588629945411,1,No,No,No,4,0,48,Bank transfer,No,3.3730791273594023,1.62817296836075,1,3289.7380737267094,136.06102358106878
129,56,118.82962178565926,1300.99633971632,24,Fiber optic,No,Yes,4,0,56,Electronic check,No,1.5850494046972567,2.1642062007955496,1,4882.441385057359,94.32900425428079
130,58,97.43303627901976,584.6620541742784,12,DSL,No,No,0,4,17,Electronic check,Yes,4.31991182493348,0.8092425666044939,0,1806.5243654116991,149.13106059631707
131,45,81.30490451152059,6268.016529940674,12,DSL,Yes,No,1,5,9,Bank transfer,No,8.494975281046141,0.9629054074032029,0,561.8399114615974,175.65557948374058
132,24,73.53931883914491,3732.4233477776293,12,DSL,No,No,1,8,34,Bank transfer,No,3.9368823158943336,1.8048219251934874,0,2413.1189079064748,105.06884947704378
133,26,65.3528746505894,559.4939844932587,1,No,No,No,3,0,45,Bank transfer,No,7.550507463214345,0.14468075914904824,1,2056.307830268739,68.13201253810041
134,25,140.83878875221734,7959.44390564116,1,Fiber optic,Yes,No,4,3,9,Credit card,Yes,1.845189683479271,0.5911136906135039,0,1083.1148352858886,118.28433822412342
135,29,127.98052301240479,556.4664318712964,12,Fiber optic,No,Yes,2,9,7,Bank transfer,Yes,6.934376686775436,0.4383323169276049,0,1003.9676989566277,103.60419193636334
136,51,145.45349838664663,5590.77830798257,24,Fiber optic,No,No,2,7,16,Bank transfer,Yes,3.850724649316915,0.03204209498679243,1,1754.8131382468807,32.508833933514914
137,50,36.158639053120815,7871.063509580968,24,DSL,No,Yes,3,9,19,Credit card,No,7.747775908273343,1.539630018022452,0,398.42185397994797,33.58326649059997
138,65,115.01277177647376,1989.5228233058124,1,Fiber optic,No,Yes,1,8,6,Electronic check,Yes,2.2262681265074367,1.6467524730627063,1,318.431840038087,32.92018568705919
139,72,141.98425938673492,1223.7700126288498,24,Fiber optic,Yes,Yes,2,2,11,Bank transfer,Yes,9.080950399880336,0.9688193128300522,1,1085.917428083253,75.01232717261598
140,40,43.56029860153582,1058.9410214371883,24,No,Yes,No,1,1,61,Check,Yes,3.1831948260814293,0.6259381398447987,0,2885.294280887763,140.90977994217923
141,41,28.644514757681073,2495.873665784005,24,No,Yes,No,3,3,42,Electronic check,Yes,4.178240139530589,2.1114497429341266,0,1333.5266189522108,70.67033964578576
142,54,116.34568440770768,898.2619069841088,12,Fiber optic,No,Yes,1,1,13,Check,No,9.551626397362375,0.2892636331587058,1,592.5620678049424,197.21324838103442
143,52,94.68150471338855,5568.074599383642,12,Fiber optic,Yes,Yes,1,0,12,Bank transfer,Yes,6.20634123757773,1.4621759579103655,0,1077.779221017497,193.12441089646575
144,61,129.43774097857536,592.1052052274953,12,No,Yes,No,1,2,20,Credit card,No,4.291943670667198,2.92267372506551,1,1906.6630971007435,158.87464521264405
145,57,38.170408961417635,4124.434812383339,1,Fiber optic,No,Yes,2,6,50,Credit card,No,9.546419323302684,0.3589663391437113,0,1748.5284845802908,160.07252488855474
146,39,123.38475054178572,7973.905145438516,1,Fiber optic,No,Yes,0,0,36,Credit card,Yes,3.961696752010288,2.7988365166780436,0,4266.368548424588,146.0700300237434
147,44,46.21155160620679,6530.365129097549,1,Fiber optic,No,Yes,4,1,69,Bank transfer,Yes,1.853836414076618,2.860864604249601,1,2082.6270059821272,42.31253814671004
148,52,41.27527257254158,4960.233562024986,12,DSL,Yes,No,1,0,37,Bank transfer,No,9.97163999073478,0.12359474593035492,0,1465.589660165815,158.59081356418253
149,18,41.354553731029085,2519.403604214232,24,Fiber optic,Yes,No,1,7,12,Check,Yes,3.4106042850302245,0.03792598499415808,1,151.55956720536017,120.50300873255067
150,52,125.89471363007968,5028.777106703944,12,No,Yes,No,1,4,40,Credit card,Yes,8.661320638296466,7.294354873747938,0,5167.774619148664,94.22479551799083
151,54,106.47563869050602,4263.627564902048,1,DSL,No,No,0,7,54,Bank transfer,Yes,2.4898671534077854,0.429811797016355,0,5577.544195464927,96.22469966289307
152,64,87.99850521998552,3466.058732733935,24,DSL,No,No,3,2,2,Electronic check,Yes,7.582185745996402,3.4535082165304667,1,0.0,72.51537639158923
153,31,66.64796293605532,1132.6119762475757,24,Fiber optic,No,No,2,6,50,Bank transfer,Yes,5.720044550250268,1.6503909038839155,1,2252.9403227561506,156.40946033077523
154,20,134.03607030570407,7104.173300399687,24,DSL,Yes,No,0,7,41,Bank transfer,Yes,9.828159024611166,0.6143337690137814,0,5791.262193343384,193.478138542527
155,18,71.01786396494259,3653.298725688448,24,DSL,No,No,1,5,45,Electronic check,Yes,5.975473204831595,0.27845617402585743,0,3300.8598521205736,200.0
156,22,126.15792713130502,1637.517843384044,12,DSL,Yes,Yes,0,6,9,Credit card,Yes,1.2251363670176871,1.373047422793112,0,1253.1941110718926,53.91602807413941
157,43,77.08753811412839,3005.298871930588,24,DSL,No,Yes,0,1,62,Electronic check,No,6.434901906616791,1.0463187846555395,0,4836.677617336115,115.95552458383585
158,72,69.00277582523799,3371.6250449785234,1,DSL,No,No,0,7,47,Credit card,Yes,2.3078481070296344,2.400533262137258,0,3053.7342748795895,100.3378398684515
159,31,80.14837213704884,6637.549374978307,12,No,No,No,3,4,5,Electronic check,No,8.186868237538786,4.690328710120791,0,272.7287039651395,72.22202127206134
160,56,59.17912364133847,5895.553606435076,1,No,Yes,No,4,6,1,Check,Yes,8.709113768409091,3.2720575424839633,0,0.0,118.55390032325218
161,44,117.18921942291264,6177.508659766584,1,DSL,Yes,No,2,0,44,Credit card,No,5.338841669152429,0.6416562335481601,0,5374.637654985216,110.16307701460791
162,26,85.35365071202229,187.14698898631298,1,Fiber optic,No,No,3,4,22,Bank transfer,Yes,8.048993113470686,4.2228259440327856,0,1936.8476619210455,82.96540982278125
163,32,50.18765036908625,3387.616585620116,12,Fiber optic,Yes,Yes,3,0,38,Check,No,2.3059966193344463,3.584214828763149,0,1573.6695734862033,127.82820118539615
164,32,136.9446945256939,3902.6187979190568,24,Fiber optic,Yes,No,4,7,19,Credit card,Yes,5.428703678820814,5.293992059960505,1,2111.8950528686673,0.0
165,43,69.90585877851748,251.6189869021478,12,DSL,Yes,No,3,3,31,Credit card,No,4.5454983822152615,1.2274184968235635,1,1450.5668492715774,109.46964589966797
166,59,90.66187194481851,2152.52434908577,1,DSL,Yes,No,0,3,67,Credit card,Yes,6.501856483477733,2.927000354039037,1,4382.717397116033,115.45822847433686
167,30,137.8413744253911,6106.289602664867,24,DSL,No,No,0,1,42,Electronic check,Yes,1.4002946992284397,1.791300761739197,0,5999.80531387571,149.0401812900114
